URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-loggia-ID4ulZm,487 281 zł,17 700 zł/m²,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",27.53m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/-ID4weKq,407 000 zł,13 755 zł/m²,"ul. Wiaduktowa, Brochów, Krzyki, Wrocław, dolnośląskie",29.59m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/jasna-kawalerka-3-okna-w-stylu-loft-zawady-p-n-ID4wf0W,355 000 zł,13 998 zł/m²,"ul. Krótka, Stare Miasto, Stare Miasto, Poznań, wielkopolskie",25.36m²,1 pokój,elektryczne,wtórny,prywatny,1930,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/wadowice-male-mieszkanie-poddasze-ul-sadowa-ID4wcTU,235 000 zł,7 844 zł/m²,"Wadowice, Wadowice, wadowicki, małopolskie",29.96m²,1 pokój,gazowe,wtórny,biuro nieruchomości,2015,dom wolnostojący,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-zabrze-goethego-18-scisle-centrum-ID4we4J,259 000 zł,7 507 zł/m²,"ul. Johanna Goethego, Śródmieście, Zabrze, śląskie",34.5m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-27m2-ID4uVVY,Brak danych,Brak danych,"ul. Kaszubska, Oliwa, Gdańsk, pomorskie",27m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-klimatem-grzegorzki-ID4we25,570 000 zł,15 659 zł/m²,"Grzegórzki, Grzegórzki, Kraków, małopolskie",36.4m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1970,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/wawer-kawalerka-ogrodkiem-36m2-ID4wdLG,425 140 zł,15 404 zł/m²,"ul. Zwoleńska, Zerzeń, Wawer, Warszawa, mazowieckie",27.6m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-ID4unSj,Brak danych,Brak danych,"ul. Czerwone Maki, Ruczaj, Dębniki, Kraków, małopolskie",28.78m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4ubrm,284 959 zł,10 373 zł/m²,"ul. Promenada, Dopiewiec, Dopiewo, poznański, wielkopolskie",27.47m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-1-pokoj-apartament-balkon-ul-wroclawska-ID4wdSC,539 000 zł,19 911 zł/m²,"ul. Wrocławska 53C, Krowodrza, Krowodrza, Kraków, małopolskie",27.07m²,1 pokój,miejskie,wtórny,prywatny,2018,apartamentowiec,plastikowe,cegła
https://www.otodom.pl/pl/oferta/osiedle-lososiowa-mieszkanie-1-pok-3-ID4lMEw,Brak danych,Brak danych,"ul. Łososiowa, Radogoszcz, Bałuty, Łódź, łódzkie",29.06m²,1 pokój,brak informacji,pierwotny,deweloper,2025,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/okazja-kawalerka-w-plocku-mozliwe-2-pokoje-ID4wfzd,262 000 zł,9 034 zł/m²,"Płock, mazowieckie",29m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-taras-bez-posrednikow-ID4uahh,Brak danych,Brak danych,"pl. Piastów, Śródmieście, Gliwice, śląskie",30.38m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-duza-kawalerka-ID4uxJJ,287 000 zł,7 553 zł/m²,"Łomża, podlaskie",38m²,1 pokój,miejskie,wtórny,prywatny,1980,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/mikrokawalerkawyposazonastare-miastorobotnicza-ID4wcVC,259 000 zł,17 267 zł/m²,"ul. Robotnicza, Szczepin, Stare Miasto, Wrocław, dolnośląskie",15m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,Brak danych,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-ogrodek-ID4uaSI,415 013 zł,11 302 zł/m²,"ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie",36.72m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-na-parterze-wejscie-z-ulicy-ID4w9hK,199 000 zł,8 027 zł/m²,"ul. Fabryczna, Wilda, Wilda, Poznań, wielkopolskie",24.79m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerka-lokal-25m2-w-centrum-ID4weyD,585 000 zł,23 391 zł/m²,"ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie",25.01m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-po-generalnym-remoncie-ID4wdV9,472 500 zł,17 500 zł/m²,"ul. Grabiszyńska, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",27m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1972,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/apartament-35-m2-ivp-centrum-ul-kaczynskiego-ID4uAeS,458 640 zł,13 000 zł/m²,"ul. Prezydenta Lecha Kaczyńskiego, Śródmieście, Kielce, świętokrzyskie",35.28m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2023,Brak danych,plastikowe,cegła
https://www.otodom.pl/pl/oferta/super-kawalerka-w-srodmiesciu-ID4uuej,210 000 zł,7 343 zł/m²,"Marszałka Józefa Piłsudskiego, Ostrołęka, mazowieckie",28.6m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1980,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/przestronny-salon-centrum-oddane-do-uzytku-ID4weRW,490 146 zł,15 100 zł/m²,"ul. Komuny Paryskiej, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",32.46m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4uai3,Brak danych,Brak danych,"ul. Ługowa, Mszczonów, Mszczonów, żyrardowski, mazowieckie",28.58m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-bezczynszowa-na-widzewie-ID4wdrP,150 000 zł,8 762 zł/m²,"ul. Powstańców Śląskich, Sikawa, Widzew, Łódź, łódzkie",17.12m²,1 pokój,gazowe,wtórny,biuro nieruchomości,1990,Brak danych,Brak danych,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bez-posrednikow-ID4ug8J,Brak danych,Brak danych,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie",28.05m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/lake-hill-mazury-doskonala-inwestycja-ID4u0wy,624 000 zł,17 204 zł/m²,"Ostróda, ostródzki, warmińsko-mazurskie",36.27m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/bielskie-tarasy-mieszkanie-1-pok-nowa-inwestycja-ID4oRUn,328 320 zł,10 995 zł/m²,"ul. Filarowa, Stare Bielsko, Bielsko-Biała, śląskie",29.86m²,1 pokój,miejskie,pierwotny,deweloper,2025,apartamentowiec,plastikowe,silikat
https://www.otodom.pl/pl/oferta/kawalerka-28-m2-zazamcze-z-wyposazeniem-ID4uw70,215 000 zł,7 679 zł/m²,"ul. Wieniecka 40, Włocławek, kujawsko-pomorskie",28m²,1 pokój,miejskie,wtórny,prywatny,1968,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-ID4uo39,615 360 zł,17 713 zł/m²,"ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie",34.74m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4uaS4,424 499 zł,11 560 zł/m²,"ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie",36.72m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-ogrodek-bez-prowizji-ID4u9AM,Brak danych,Brak danych,"ul. Gwiaździsta, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie",37.33m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-do-wejscia-23-8m2-os-kalinowe-ID4wf2d,415 000 zł,17 518 zł/m²,"os. Kalinowe, Bieńczyce, Bieńczyce, Kraków, małopolskie",23.69m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1975,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/koniuchy-bartkiewiczowny-mieszkanie-z-balkonem-ID4weas,330 000 zł,9 706 zł/m²,"ul. Janiny Bartkiewiczówny, Koniuchy, Toruń, kujawsko-pomorskie",34m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2000,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/rondo-daszynskiego-ul-lucka-15-studio-z-balkonem-ID4wcEn,690 000 zł,18 852 zł/m²,"ul. Łucka, Mirów, Wola, Warszawa, mazowieckie",36.6m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/23-m-po-kapitalnym-remoncie-od-juz-ID4wffG,449 000 zł,19 437 zł/m²,"Koło, Wola, Warszawa, mazowieckie",23.1m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1965,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/kawalerki-francuska-wojewodzka-ID4tful,156 853 zł,10 100 zł/m²,"Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",15.53m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/bezposrednio-29-m2-centrum-warynskiego-1a-ID4t5O6,398 000 zł,13 743 zł/m²,"ul. Ludwika Waryńskiego 1A, Centrum, Białystok, podlaskie",28.96m²,1 pokój,miejskie,pierwotny,prywatny,1959,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerka-26m-metro-wawrzyszew-bielany-ID4wd4O,450 000 zł,17 308 zł/m²,"ul. Władysława Reymonta 21, Wawrzyszew, Bielany, Warszawa, mazowieckie",26m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4ulHk,Brak danych,Brak danych,"ul. Przemyska, Ujeścisko-Łostowice, Gdańsk, pomorskie",32.93m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-ogrodek-bezposrednio-ID4uhcC,421 080 zł,16 500 zł/m²,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",25.52m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-45m2-balkon-bezposrednio-ID4ubtp,Brak danych,Brak danych,"ul. Jaskółcza, Śródmieście, Gdańsk, pomorskie",45.17m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-saskiej-kepie-winda-ID4wf4M,480 000 zł,20 870 zł/m²,"al. Aleja Jerzego Waszyngtona, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",23m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1966,blok,Brak danych,cegła
https://www.otodom.pl/pl/oferta/kawalerka-dla-inwestora-13min-centrum-obok-pkm-ID4wfk8,352 000 zł,12 138 zł/m²,"Ujeścisko-Łostowice, Gdańsk, pomorskie",29m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,cegła
